Гори                :::s9620342            
Высокое             :::s9655275            
Буча                :::s9615010            
Лесная Буча         :::s9615252            
Боярка              :::s9615066            
Тарасовка           :::s9615491            
Бородянка           :::s9615014            
Ирпень              :::s9615009            
Березань            :::s9614987            
Семиходы            :::s9615249            
Вишнёвое            :::s9614933            
Глеваха             :::s9615499            
Киев-Пасс.          :::s9614928            
Почайна (бывш.Киев-Петровка):::s9614929            
Дарница             :::s9614934            
Святошин            :::s9614935            
Киев-Волынский      :::s9614930            
Киев-Демеевский     :::s9614931            
Караваевы Дачи      :::s9615237            
Борщаговка          :::s9615502            
Протасов Яр         :::s9615506            
Левый Берег         :::s9615516            
Рубежовский         :::s9615618            
Выдубичи            :::s9633521            
Алмаз               :::s9655219            
Левобережная        :::s9727085            
Киев-Днепровский    :::s9614932            
им.Георгия Кирпы    :::s9614991            
Пётр Кривонос       :::s9615227            
Лесники             :::s9615261            
Выдубичи-Трипольские:::s9615286            
Киев-Октябрьский    :::s9615334            
Лесничество         :::s9615366            
Подгорцы            :::s9615473            
Проспект Науки      :::s9615474            
ДВРЗ                :::s9615486            
Новобеличи          :::s9615511            
Вышгородская        :::s9615519            
Киевская Русановка  :::s9615527            
Троещина            :::s9615556            
Оболонь             :::s9615567            
Зенит               :::s9615599            
Сырец               :::s9615608            
Дарница-депо        :::s9615609            
Фармацевтическая    :::s9655244            
Троещина-2          :::s9754152            
Киев                :::s9614927            
Белая Церковь       :::s9615106            
Роток               :::s9615398            
Стугна              :::s9615470            
Ракитное            :::s9615072            
Кагарлык            :::s9615217            
Мироновка           :::s9615116            
Барышевка           :::s9614988            
Галещина            :::s9615911            
Гоголево            :::s9615877            
Яреськи             :::s9615878            
Карловка            :::s9615892            
Гребёнка            :::s9615861            
Глобино             :::s9615900            
Гадяч (им.Сергиенко):::s9615855            
Венеславовка        :::s9615854            
Золотнишино         :::s9753677            
Лохвица             :::s9615853            
Сула                :::s9615834            
Козельщина          :::s9615912            
Недогарки (27 км)   :::s9753681            
Лещиновка           :::s9615916            
Сагайдак            :::s9615880            
Решетиловка         :::s9615882            
Скороходово         :::s9615840            
Хорол               :::s9615897            
Полтава-Киевская    :::s9615888            
Полтава-Южная       :::s9615898            
Кривохатки          :::s9615717            
Пост Ворскла        :::s9615923            
Крутой Берег        :::s9615973            
Супруновка          :::s9615885            
Яковцы              :::s9615983            
Шведская Могила     :::s9615985            
Монастырский        :::s9615997            
Дублянщина          :::s9616037            
Восточный           :::s9616103            
336 км              :::s9616167            
328 км              :::s9753658            
Полтава             :::s9615725            
Кобеляки            :::s9615914            
Лубны               :::s9615871            
Пирятин             :::s9615872            
Тагамлык            :::s9615890            
Машевка             :::s9830928            
Крюков-на-Днепре    :::s9615905            
Кременчуг           :::s9615915            
Рокитная            :::s9615904            
289 км              :::s9615948            
Череднички          :::s9616112            
Предгорочный парк   :::s9623151            
Горка               :::s9623152            
Экипировка          :::s9623153            
Кагамлыкская        :::s9615650            
252 км              :::s9615947            
253 км              :::s9616034            
Малановка           :::s9616162            
Вагонозавод         :::s9616166            
Терешковка          :::s9616191            
256 км              :::s9753663            
287 км              :::s9753682            
281 км              :::s9753683            
7 км                :::s9753684            
Ромодан             :::s9615842            
Весёлый Подол       :::s9615899            
Лазорки             :::s9615874            
Миргород            :::s9615879            
Рублёвка            :::s9615902            
Мазуровка           :::s9615903            
Бурты               :::s9615906            
Потоки              :::s9615909            
Омельник            :::s9616176            
Вакуленцы           :::s9753657            
Южный парк          :::s9753672            
Парижская Коммуна   :::s9614981            
Слобода Петровская  :::s9615543            
160 км              :::s9615658            
Вербки              :::s9615694            
Тарнавщина          :::s9615713            
Стадня              :::s9615714            
Кибинцы             :::s9615715            
Мелашенково         :::s9615716            
Петровка            :::s9615718            
Куликовка           :::s9615774            
Кочубеевка          :::s9615841            
Божков              :::s9615843            
Свинковка           :::s9615844            
Юсковцы             :::s9615852            
Бодаква             :::s9615856            
Сенча               :::s9615857            
Дубровский конный завод:::s9615858            
Грабаровка          :::s9615869            
Сосиновка           :::s9615870            
Боярский            :::s9615873            
Вилы                :::s9615875            
Солоницкая          :::s9615876            
Братешки            :::s9615881            
Уманцевка           :::s9615883            
Абазовка            :::s9615884            
Миновка             :::s9615886            
Пашковка            :::s9615887            
Селещина            :::s9615889            
Сухой               :::s9615891            
Орчик               :::s9615893            
Ланная              :::s9615894            
Шишаки              :::s9615896            
Устиновка           :::s9615901            
Калачевский         :::s9615908            
Беланы              :::s9615910            
Гановка             :::s9615913            
Жарки               :::s9615917            
Новосенжары         :::s9615918            
Собковка            :::s9615919            
Малая Перещепинская :::s9615920            
Головач             :::s9615921            
773 км              :::s9615924            
Коржиха             :::s9615926            
3 км                :::s9615929            
185 км              :::s9615942            
196 км              :::s9615943            
232 км              :::s9615944            
193 км              :::s9615945            
143 км              :::s9615946            
197 км              :::s9615954            
Вакуленцы           :::s9615957            
Стронское           :::s9615959            
Ивановка            :::s9615960            
Терны               :::s9615961            
Бабенково           :::s9615975            
Голубово            :::s9615976            
Магистральная       :::s9615984            
Череваны            :::s9615996            
Лесные Поляны       :::s9616003            
База                :::s9616020            
Зеленовка           :::s9616022            
Ткаченково          :::s9616028            
147 км              :::s9616033            
Зелёная             :::s9616043            
Белецковка          :::s9616044            
Парасковеевка       :::s9616062            
Беседовщина         :::s9616063            
272 км              :::s9616065            
294 км              :::s9616072            
311 км              :::s9616075            
Шкурупии            :::s9616083            
Матяшевка           :::s9616095            
Пригородная         :::s9616096            
Сторожевой          :::s9616099            
303 км              :::s9616105            
Никольское          :::s9616116            
Ковалевка           :::s9616121            
Безручки            :::s9616127            
Зинцы               :::s9616131            
Котляровка          :::s9616148            
Федунка             :::s9616149            
146 км              :::s9616154            
Копылы              :::s9616157            
9 км                :::s9616158            
Искровка            :::s9616161            
Писаревская         :::s9616168            
270 км              :::s9616175            
Терешки             :::s9616178            
Кашубовка           :::s9616184            
Тарасовка           :::s9616185            
Головачанская       :::s9616190            
235 км              :::s9616197            
136 км              :::s9616213            
Коновалово          :::s9616218            
40 км               :::s9616219            
Осняги              :::s9616220            
Оржица              :::s9616567            
227 км              :::s9623163            
Деповской           :::s9634674            
810 км              :::s9637429            
805 км              :::s9637430            
209 км              :::s9753659            
Клюшники            :::s9753660            
160 км              :::s9753661            
248 км              :::s9753662            
18 км               :::s9753664            
32 км               :::s9753665            
34 км               :::s9753666            
244 км              :::s9753671            
4 км                :::s9753673            
Ерестово            :::s9753674            
Шлюзы               :::s9753675            
11 км               :::s9753676            
3 км                :::s9753678            
160 км              :::s9753685            
119 км              :::s9753686            
111 км              :::s9753687            
798 км              :::s9753692            
780 км              :::s9753693            
Портновка           :::s9830935            
7 км                :::s9869609            
12 км               :::s9869610            
Светловодск         :::s9615907            
Автостанция         :::s9615665            
Помошная            :::s9616348            
Павлыш              :::s9616373            
Знаменка-Пасс.      :::s9616378            
Знаменка-Сорт.      :::s9616387            
Голованевск         :::s9637490            
Хощевато            :::s9616429            
Высоцкое            :::s9616241            
Западный пост       :::s9616242            
Чернолесская        :::s9616339            
Долинская           :::s9616427            
Користовка          :::s9616556            
Тимково             :::s9616560            
1054 км             :::s9637282            
Вагонное депо       :::s9637342            
82 км               :::s9637351            
Знаменка-2          :::s9637376            
Колхозная           :::s9637377            
Водяная             :::s9637378            
Сады-6              :::s9615659            
Сады-5              :::s9615660            
Сады-4              :::s9615661            
Сады-3              :::s9615662            
Сады-1              :::s9615663            
Днепр               :::s9615664            
Згода               :::s9616249            
Сосновка            :::s9616253            
Канатово            :::s9616255            
Бобринец            :::s9616276            
Кропивницкая        :::s9616280            
Осиковатая          :::s9616281            
Седневка            :::s9616282            
5 км                :::s9616283            
Войновка            :::s9616320            
Капитановка         :::s9616333            
Виска               :::s9616335            
Капустино           :::s9616336            
Адабаш              :::s9616337            
Цыбулево            :::s9616340            
Фундуклеевка        :::s9616341            
Лекаревка           :::s9616374            
Королевка           :::s9616377            
Счастливая          :::s9616379            
Пантаевка           :::s9616382            
Плетеный Ташлык     :::s9616388            
Новоукраинка        :::s9616390            
Сахарная            :::s9616398            
Медерово            :::s9616399            
Шаровка             :::s9616400            
Чабановка           :::s9616401            
Куцовка             :::s9616402            
Маржановка          :::s9616403            
Рожено              :::s9616473            
309 км              :::s9616557            
294 км              :::s9616558            
Бешкетово           :::s9616563            
Лелековка           :::s9616590            
Предбужье           :::s9616595            
Емиловка            :::s9616603            
Кучеровка           :::s9616611            
Грушка              :::s9616615            
Пост 309 Км         :::s9634593            
Глиняная            :::s9637315            
198 км              :::s9637316            
Даниловка           :::s9637323            
307 км              :::s9637331            
309 км              :::s9637332            
314 км              :::s9637333            
Морозовка           :::s9637334            
Алиевка             :::s9637335            
Протопоповка        :::s9637336            
Новофилипповка      :::s9637337            
Байдаковка          :::s9637338            
Песчаный Брод       :::s9637339            
Соловьевка          :::s9637340            
Тарасовка           :::s9637341            
4 км                :::s9637343            
6 км                :::s9637344            
23 км               :::s9637345            
24 км               :::s9637346            
39 км               :::s9637347            
50 км               :::s9637348            
65 км               :::s9637349            
74 км               :::s9637350            
124 км              :::s9637352            
Червоное Озеро      :::s9637353            
115 км              :::s9637354            
109 км              :::s9637355            
103 км              :::s9637356            
101 км              :::s9637357            
99 км               :::s9637358            
94 км               :::s9637359            
88 км               :::s9637360            
82 км               :::s9637361            
80 км               :::s9637362            
65 км               :::s9637363            
61 км               :::s9637364            
58 км               :::s9637365            
56 км               :::s9637366            
50 км               :::s9637367            
49 км               :::s9637368            
40 км               :::s9637369            
37 км               :::s9637370            
34 км               :::s9637371            
32 км               :::s9637372            
28 км               :::s9637373            
24 км               :::s9637374            
22 км               :::s9637375            
Богдановка          :::s9637379            
Кохановка           :::s9637380            
284 км              :::s9637381            
Еградковка          :::s9637382            
Красноселье (280 км):::s9637383            
Мамаев Яр           :::s9637384            
Цыбулево            :::s9637385            
267 км              :::s9637386            
264 км              :::s9637387            
260 км              :::s9637388            
Бирки               :::s9637389            
255 км              :::s9637390            
247 км              :::s9637391            
325 км              :::s9637401            
317 км              :::s9637402            
Треповка            :::s9637403            
Барвинково          :::s9637404            
Можарово            :::s9637405            
290 км              :::s9637406            
286 км              :::s9637407            
280 км              :::s9637408            
270 км              :::s9637409            
Шестаковка          :::s9637410            
261 км              :::s9637411            
Марьяновка          :::s9637412            
248 км              :::s9637413            
246 км              :::s9637414            
Новаковка           :::s9637415            
230 км              :::s9637416            
218 км              :::s9637417            
Зверево             :::s9637418            
Никольское          :::s9637419            
Акимовка            :::s9637420            
Федоровка           :::s9637421            
Локомотивное депо   :::s9637422            
Совхозная           :::s9637443            
Турия               :::s9637444            
Ульяновка           :::s9637445            
Александровка       :::s9637446            
Красный Гранит      :::s9637447            
Карьерная           :::s9637448            
339 км              :::s9637491            
Таужня              :::s9637492            
Мощеная             :::s9637493            
Хощевато            :::s9637494            
Берёзовка           :::s9637596            
Конный Завод        :::s9637597            
Новоалексеевка      :::s9637598            
Озера               :::s9637599            
Коцюбинский         :::s9637600            
279 км              :::s9637601            
Павловка            :::s9753679            
Свердловка          :::s9753680            
Новомиргород        :::s9616334            
Александрия         :::s9616368            
Гайворон            :::s9616235            
Кропивницкий        :::s9616397            
Нью-Хейвен          :::s9635490            
Рейл                :::s9635574            
Филадельфия         :::s9635493            
Уилмингтон          :::s9635491            
Ньюарк (Нью-Джерси) :::s9635538            
Биело-Поле          :::s9621811            
Подгорица           :::s9621829            
Колашин             :::s9621816            
Мойковац            :::s9621824            
Бар                 :::s9621810            
Кос                 :::s9621817            
Аэродром            :::s9621809            
Биоце               :::s9621812            
Братонозицы         :::s9621813            
Крмница             :::s9621814            
Голубовцы           :::s9621815            
Крусевацки поток    :::s9621818            
Крусево             :::s9621819            
Льесница            :::s9621820            
Лутово              :::s9621821            
Матесево            :::s9621822            
Миятово коло        :::s9621823            
Мораца              :::s9621825            
Облутак             :::s9621826            
Падез               :::s9621827            
Пелев брег          :::s9621828            
Поткрс              :::s9621830            
Равна рийека        :::s9621831            
Селисте             :::s9621832            
Слийепац мост       :::s9621833            
Ститарицка рийека   :::s9621834            
Сусанж              :::s9621835            
Сутоморе            :::s9621836            
Требальево          :::s9621837            
Требьесица          :::s9621838            
Вирпазар            :::s9621839            
Вранжина            :::s9621840            
Зари                :::s9621841            
Зета                :::s9621842            
Златица             :::s9621843            
Цхинвали            :::s9620289            
Чыгрыпш             :::s9620223            
Бзыбь               :::s9620226            
Мюссера             :::s9620227            
Звандрипш           :::s9620228            
Эшера               :::s9620231            
Очамчира            :::s9620327            
Гячрыпш             :::s9620377            
Псоу                :::s9637565            
Багрыпш             :::s9637566            
Ахцыда              :::s9637569            
Псырцха             :::s9672528            
Новый Афон          :::s9620340            
Гудаута             :::s9620206            
Сухум               :::s9620203            
Гагра               :::s9620224            
Абаата              :::s9637567            
Гагрыпш             :::s9637568            
Цандрыпш            :::s9620222            
Durres Railway Station:::s9870413            
Vlore Railway Station:::s9870414            
Велдховен           :::s9637662            
Амерсфорт           :::s9845103            
Railway Station     :::s9851206            
Breda Railway Station:::s9870408            
Enschede Railway Station:::s9872245            
Hengelo Railway Station:::s9872246            
Apeldoorn Railway Station:::s9872247            
Гронинген           :::s9622898            
Амерсфорт           :::s9622899            
Арнем               :::s9622901            
Ден хаг             :::s9622903            
Хенгело             :::s9622904            
Хук-В-Холланд       :::s9622905            
Мастрихт            :::s9622906            
Ниймеген            :::s9622907            
Ольдензаль          :::s9622908            
Утрехт              :::s9622910            
Венло               :::s9622911            
Эйндховен           :::s9622902            
Эйндховен           :::s9848808            
Хертогенбос         :::s9848963            
Бреда               :::s9848952            
Розендал            :::s9848951            
Осс                 :::s9848962            
Берген-оп-Зом       :::s9849133            
Хильверсюм          :::s9654534            
Дёйвендрехт         :::s9848959            
Харлем              :::s9849136            
Амстердам           :::s9622900            
Амстердам Центральный:::s9635581            
Амстердам-Зюйд      :::s9848803            
Амстердам - Схипхол :::s9848806            
Рурмонд             :::s9849258            
Maastricht Railway Station:::s9853127            
Маастрихт           :::s9848916            
Херлен              :::s9848810            
Ситтард             :::s9848812            
Ландграф            :::s9848918            
Венло               :::s9845116            
Энсхеде             :::s9848957            
Девентер            :::s9848960            
Зволле              :::s9848956            
Хенгело             :::s9848958            
Эммен               :::s9848955            
Роскилле            :::s9849229            
Гронинген           :::s9848804            
Роттердам зап       :::s9622909            
Роттердам Центральный:::s9635644            
Den Haag Centraal Railway Station:::s9851255            
Гаага HS            :::s9848807            
Гаага               :::s9848954            
Лейден              :::s9848811            
Делфт               :::s9848953            
Гауда               :::s9848979            
Леуварден           :::s9848805            
Херенвен            :::s9848809            
Хамар               :::s9848926            
Аскер               :::s9848976            
Holmestrand Railway Station:::s9871400            
Tonsberg Railway Station:::s9871401            
Sandefjord Railway Station:::s9871402            
Larvik Railway Station:::s9871403            
Porsgrunn Railway Station:::s9871404            
Ringebu Railway Station:::s9871405            
Vinstra Railway Station:::s9871406            
Otta Railway Station:::s9871407            
Dombas Railway Station:::s9871408            
Мосс                :::s9622213            
Фридриштадт         :::s9622214            
Хальден             :::s9622215            
Трондхейм           :::s9622216            
Нарвик              :::s9622217            
Берген              :::s9622218            
Сарпсборг           :::s9622219            
Гейло               :::s9848862            
Драммен             :::s9848860            
Lillehammer Railway Station:::s9871399            
Лиллехаммер         :::s9848925            
Берген              :::s9848794            
Восс                :::s9848861            
Осло Центральный    :::s9622212            
Осло Центральный    :::s9848795            
Осло - Гардермуэн (Аэропорт):::s9849285            
Тронхейм            :::s9848796            
Кристиансанн        :::s9848977            
Будё                :::s9848797            
Дьёр                :::s9848869            
Дебрецен            :::s9621465            
Эгер                :::s9621409            
Тата                :::s9621407            
Будапешт-Келенфёльд :::s9621403            
Будапешт Келети     :::s9621453            
Будапешт Ньюгати    :::s9621454            
Будапешт Город      :::s9621481            
Budapest-Keleti     :::s9861960            
Будапешт-Южный      :::s9819750            
Ференцварош         :::s9758145            
Зугло               :::s9871420            
Залаэгерсег         :::s9621445            
Папа                :::s9621419            
Печ                 :::s9621451            
Демечер             :::s9621380            
Акс                 :::s9621381            
Безенье             :::s9621382            
Лепшень             :::s9621383            
Йосвафое-Аггтелек   :::s9621384            
Калоца              :::s9621385            
Щексард             :::s9621386            
Сзарвас             :::s9621387            
Эстергом            :::s9621388            
Гьонгьош            :::s9621389            
Зебежени            :::s9621390            
Алмашфьюзито        :::s9621391            
Дорог               :::s9621392            
Сзентес             :::s9621393            
Кошег               :::s9621394            
Мако                :::s9621395            
Мезохедис           :::s9621396            
Мохач               :::s9621397            
Орошхаза            :::s9621398            
Орошлани            :::s9621399            
Озд                 :::s9621400            
Ходмезовашархели    :::s9621401            
Батасек Главный     :::s9621402            
Биске               :::s9621404            
Хатван              :::s9621405            
Татабанья           :::s9621406            
Комаром             :::s9621408            
Дьор                :::s9621410            
Хидашнемети         :::s9621411            
Мошонмадьяровар     :::s9621412            
Хедьешхалом         :::s9621413            
Кишварда            :::s9621414            
Байя                :::s9621415            
Кетегхаза           :::s9621416            
Лоекоешаза          :::s9621417            
Райка               :::s9621418            
Сомбатхей           :::s9621420            
Керменд             :::s9621421            
Сентгодхард         :::s9621422            
Чорна               :::s9621423            
Секешфехервар       :::s9621424            
Шиофок              :::s9621425            
Замарди             :::s9621426            
Балатонфелдвар      :::s9621427            
Балатонсарсо        :::s9621428            
Балатонсемеш        :::s9621429            
Балатонлелле        :::s9621430            
Балатонбоглар       :::s9621431            
Фоньод              :::s9621432            
Балатонфеньвеш      :::s9621433            
Балатонмариафуерде  :::s9621434            
Балатонсентдьердь   :::s9621435            
Надьканижа          :::s9621436            
Муракерестур        :::s9621437            
Залакомар           :::s9621438            
Варпалота           :::s9621439            
Веспрем             :::s9621440            
Балатонфьюред       :::s9621441            
Ревфьюлоп           :::s9621442            
Тапольча            :::s9621443            
Кештхели            :::s9621444            
Пустасабольч        :::s9621446            
Шарбогард           :::s9621447            
Домбовар            :::s9621448            
Капошвар            :::s9621449            
Дьекенеш            :::s9621450            
Магиарболи          :::s9621452            
Вац                 :::s9621455            
Соб                 :::s9621456            
Мишкольц тиса       :::s9621457            
Салготарьян         :::s9621458            
Саторальяуйхели     :::s9621459            
Цеглед              :::s9621460            
Сольнок             :::s9621461            
Карцаг              :::s9621462            
Пюшпекладань        :::s9621463            
Хайдусобосло        :::s9621464            
Ньиредьхаза         :::s9621466            
Захонь              :::s9621467            
Кунсентмиклош-Таш   :::s9621468            
Фюлепсаллаш         :::s9621469            
Кишкереш            :::s9621470            
Кишкунхалаш         :::s9621471            
Келебиа             :::s9621472            
Кишкунмайша         :::s9621473            
Кечкемет            :::s9621474            
Кишкунфеледьхаза    :::s9621475            
Сегед               :::s9621476            
Розке               :::s9621477            
Мезотур             :::s9621478            
Бекешчаба           :::s9621479            
Гьюла               :::s9621480            
Зап.код             :::s9621482            
Кишуйсаллаш         :::s9623204            
Балатонзентджорд    :::s9634658            
Терексентмиклош     :::s9758146            
Сабадсаллаш         :::s9758147            
Шольтвадкерт        :::s9758148            
Эрисентпетер        :::s9819751            
Херенд              :::s9819752            
Айка                :::s9819753            
Боба                :::s9819754            
Залалёвё            :::s9819755            
Надьмарош-Вышеград  :::s9841400            
Шилайняй            :::s9618230            
Пауостис            :::s9618244            
Оп Гружейкяй        :::s9618245            
Дитува              :::s9618246            
Пликоряй            :::s9618247            
Юкнайчяй            :::s9618248            
Усенай              :::s9618249            
Жиргинас            :::s9618250            
Анужяй              :::s9618251            
Тубаусяй            :::s9618252            
Науседай            :::s9618253            
Жиляй               :::s9618254            
Бябрулишке          :::s9618255            
Будвечяй            :::s9618256            
Тургалаукис         :::s9618257            
Сувалькеляй         :::s9618258            
Миляй               :::s9618259            
Кросна 2            :::s9618260            
Кросна              :::s9618261            
Гилуйчяй            :::s9618262            
Симнас              :::s9618263            
Мяргалаукис         :::s9618264            
Дайнава             :::s9618265            
Сантайка            :::s9618266            
Балкунай            :::s9618267            
Курненай            :::s9618268            
Калтаненай          :::s9618269            
Кяунялишкис         :::s9618270            
Салдутишкис         :::s9618271            
Куктишкес           :::s9618272            
Дегуляй             :::s9618273            
Шяштокай            :::s9618274            
Калвария            :::s9618275            
Винчяй              :::s9618279            
Моцкава             :::s9618282            
Лайжува             :::s9618283            
Вянта               :::s9618284            
Луше                :::s9618285            
Скуодас             :::s9618287            
Мядининкай          :::s9618288            
Дарбенай            :::s9618289            
Шаркяй              :::s9618293            
Мешкуйчяй           :::s9618294            
Губерния            :::s9618295            
Йонайтишкяй         :::s9618296            
Чютяляй             :::s9618297            
Титувенай           :::s9618298            
Лидувенай           :::s9618299            
Шенлаукис           :::s9618300            
Видукле             :::s9618301            
Варлаукис           :::s9618302            
Батакяй             :::s9618303            
Гайжюнай            :::s9618304            
Лауксаргяй          :::s9618305            
Гяняй               :::s9618306            
Каубаришкис         :::s9618309            
Даржеляй            :::s9618311            
Неверонис           :::s9618312            
Лайстай             :::s9618313            
Жямайткемис         :::s9618314            
Науена              :::s9618316            
Зокняй              :::s9618328            
Сидаряй             :::s9618330            
Ужпелькяй           :::s9618331            
Либишкяй            :::s9618332            
Бярнотишке          :::s9618333            
Пожярунай           :::s9618334            
Камщяй              :::s9618335            
Гудай               :::s9618336            
Кальненай           :::s9618337            
Жеймяй              :::s9618338            
Лукшяй              :::s9618339            
Шапяляй             :::s9618346            
Обяляй              :::s9618347            
Кугеляй             :::s9618359            
Дапшеняй            :::s9618361            
Шилуте              :::s9618363            
Друскининкай        :::s9618364            
Пагегяй             :::s9618368            
Маргенис            :::s9618386            
Сянове              :::s9618387            
Прекуле             :::s9618410            
Вилькичяй           :::s9618411            
Йонишкис            :::s9618412            
Думсяй              :::s9618415            
Палукне             :::s9618416            
Запасной код        :::s9618417            
Шумскас             :::s9618418            
Утяна               :::s9618420            
Алитус              :::s9618421            
Ливинтай            :::s9618422            
Таураге             :::s9618423            
Толечай             :::s9618430            
Кяпуришкис          :::s9618438            
Кабяляй             :::s9618439            
Стонишкяй           :::s9618455            
Кукорай             :::s9618456            
Еся                 :::s9634558            
Турмантас           :::s9618377            
Дукштас             :::s9618378            
Игналина            :::s9618380            
Гярконис            :::s9618401            
Висагинас           :::s9618402            
Кужяй               :::s9618345            
Вовяришкяй          :::s9618315            
Содай               :::s9618319            
Манкишкяй           :::s9618329            
Гимбогала           :::s9618341            
Линкайчяй           :::s9618342            
Дурпинас            :::s9618343            
Кутишкяй            :::s9618344            
Куршенай            :::s9618354            
Папиле              :::s9618355            
Радвилишкис         :::s9618357            
Шиленай             :::s9618358            
Павянчяй            :::s9618365            
Байсогала           :::s9618370            
Рауденай            :::s9618424            
Тришкяй             :::s9618425            
Акмяне              :::s9618431            
Шяуляй              :::s9618379            
Леплауке            :::s9618349            
Мажейкяй            :::s9618360            
Плунге              :::s9618367            
Дусейкяй            :::s9618426            
Тарвайняй           :::s9618427            
Шатейкяй            :::s9618428            
Векшняй             :::s9618432            
Тяльшяй             :::s9618366            
Лабучяй             :::s9618308            
Рокишкис            :::s9618348            
Панямунелис         :::s9618350            
Скапишкис           :::s9618351            
Купишкис            :::s9618352            
Субачюс             :::s9618353            
Шядува              :::s9618356            
Тинджюляй           :::s9618369            
Лаба                :::s9618433            
Густонис            :::s9618434            
Карсакишкис         :::s9618435            
Бигайляй            :::s9618436            
Раджюнай            :::s9618437            
Панявежис           :::s9618384            
Варена              :::s9618385            
Валькининкай        :::s9618446            
Памяркяй            :::s9618447            
Матуйзос            :::s9618448            
Зярвинос            :::s9618449            
Марцинконис         :::s9618450            
Мариямполе          :::s9618419            
Юре                 :::s9618321            
Казлу-Руда          :::s9618388            
Альвитас            :::s9618317            
Альксненай          :::s9618318            
Баготойи            :::s9618320            
Пильвишкяй          :::s9618390            
Вилкавишкис         :::s9618391            
Кибартай            :::s9618392            
Байорай             :::s9618243            
Крятингале          :::s9618290            
Крятинга            :::s9618362            
Кулупенай           :::s9618429            
Клайпеда            :::s9618389            
Калоте              :::s9618291            
Гируляй             :::s9618292            
Римкай              :::s9618409            
Еся                 :::s9618231            
Гарлява             :::s9618232            
Пабалишкяй          :::s9618233            
Мауручяй            :::s9618322            
Карчюпис            :::s9618276            
Памерис             :::s9618277            
Пагиряй             :::s9618278            
Амаляй              :::s9618323            
Палямонас           :::s9618324            
Правенишкес         :::s9618325            
Жасляй              :::s9618326            
Гуджюнай            :::s9618340            
Дотнува             :::s9618371            
Кедайняй            :::s9618372            
Ионава              :::s9618373            
Кайшядорис          :::s9618375            
Каунас              :::s9618399            
Каунас 1            :::s9623191            
Тракай              :::s9618281            
Вильнюс             :::s9618228            
Вильнюс центр       :::s9618229            
Вильнюс бас         :::s9618457            
Паняряй             :::s9618404            
Павильнис           :::s9618451            
Науйойи-Вильня      :::s9618452            
Электродепо 1       :::s9618307            
Электродепо 2       :::s9618310            
Киртимай            :::s9618405            
Вильнюс Товарный    :::s9634557            
оро Уостас          :::s9872654            
Воке                :::s9618374            
Лянтварис           :::s9618376            
